Test Key,Title,Description,Preconditions,Priority,Test Steps,Data for Steps,Expected Results,Jira Story ID,Test Type,Component,Release,Test Case Status,,Creator
TC-001,Verify authorized user can access Edit button and open cycle builder on active cycle,Ref: AC1. Type: Positive.,"User has Perform admin / authorized role
At least one active cycle exists in Perform -> Cycle list",High,"Login with authorized user account
Navigate to Perform -> Cycle
Locate an active cycle in the list
Observe the Edit button
Click Edit",,"Edit button is visible on the active cycle
Full cycle builder opens with all fields loaded correctly
No error or restriction message is displayed",CHR-47407,Positive,Perform,,,,QA-Team
TC-002,Verify non-authorized user does NOT see Edit button on any cycle,Ref: AC1. Type: Security.,"User has a role without cycle edit permission (e.g. employee, viewer)
At least one cycle exists",High,"Login with non-authorized user account
Navigate to Perform -> Cycle
Observe the cycle list UI",,"No Edit button appears on any cycle
User sees read-only view of cycle information only",CHR-47407,Security,Perform,,,,QA-Team
TC-003,Verify non-authorized user accessing Edit URL directly is blocked and shown read-only view,Ref: AC1. Type: Security.,Non-authorized user has the direct edit URL (e.g. /perform/cycles/{id}/edit),High,"Login with non-authorized user account
Paste the direct edit URL into the browser address bar and navigate
Observe the result",,"User is redirected or shown access denied / read-only view
User cannot make any changes to the cycle",CHR-47407,Security,Perform,,,,QA-Team
TC-004,Verify authorized user can access Edit on both active and inactive cycles,"Ref: AC1, AC11. Type: Positive.","Authorized user
At least one active cycle and one inactive cycle exist",High,"Navigate to Perform -> Cycle
Click Edit on an active cycle -> observe cycle builder opens
Navigate back to Cycle list
Click Edit on an inactive cycle -> observe cycle builder opens",,"Both active and inactive cycles open the full cycle builder without restriction
No deactivation requirement message is displayed",CHR-47407,Positive,Perform,,,,QA-Team
TC-005,"Verify Save on inactive cycle saves directly without popup, redirects to cycle list, and updates incomplete tasks only","Ref: AC2, AC11. Type: Positive.","Authorized user
Inactive cycle with at least one incomplete task and one completed task",High,"Navigate to Perform -> Cycle -> click Edit on inactive cycle
Change the Title and Description fields
Click Save
After redirect, re-open the cycle and check incomplete task details
Check completed task details",,"Save Review popup does **NOT** appear
System saves directly
User is redirected to Cycle list
Toast message appears confirming save
Incomplete task reflects the updated Title and Description
Completed task remains in last submitted/saved state (unchanged)",CHR-47407,Positive,Perform,,,,QA-Team
TC-006,Verify Cancel with unsaved changes shows Discard confirmation popup,Ref: AC2. Type: Positive.,"Authorized user in Edit cycle page
At least one field has been changed but not saved",High,"Open Edit on any cycle
Change the Title field
Click Cancel",,"Popup appears: ""Do you want to discard changes? Any unsaved changes will be lost.""
Two action buttons visible: **Discard** and **Take me back**",CHR-47407,Positive,Perform,,,,QA-Team
TC-007,"Verify ""Discard"" in cancel popup navigates to cycle list and discards all unsaved changes",Ref: AC2. Type: Positive.,Discard confirmation popup is open (from TC_006),High,Click **Discard** in the popup,,"User is navigated to Cycle list
Unsaved changes are NOT persisted
Cycle data remains as it was before editing",CHR-47407,Positive,Perform,,,,QA-Team
TC-008,"Verify ""Take me back"" in cancel popup returns user to edit form with all unsaved changes intact",Ref: AC2. Type: Positive.,Discard confirmation popup is open,High,Click **Take me back** in the popup,,"User is returned to the edit cycle form
All unsaved changes are still present in the form fields",CHR-47407,Positive,Perform,,,,QA-Team
TC-009,Verify saving only future-only fields on active running cycle does NOT show popup,"Ref: AC3, AC7. Type: Positive.","Active cycle with a running run
Authorized user",High,"Open Edit on active running cycle
Change only future-only fields such as Overall Rating, Goal Tracking, and Questions
Click Save",,"Popup does **NOT** appear
System saves directly
Toast: ""Changes saved for the next cycle.""
Running tasks are not modified
The edited future-only fields are saved for the next cycle only",CHR-47407,Positive,Perform,,,,QA-Team
TC-010,Verify Save on active running cycle with at least one immediate field changed shows Review popup,"Ref: AC3, AC5. Type: Positive.","Active cycle with at least one incomplete running task
Authorized user",High,"Open Edit on active running cycle
Change Notification Settings (immediate field)
Click Save",,"Popup titled ""Review your changes"" is displayed
Message explains that some changes can apply now while others are saved for a future run / future generated tasks, using the approved final release copy
List shows ""Notification Settings"" as changed immediate field
Three action buttons: **Apply changes now**, **Save for next cycle**, **x**",CHR-47407,Positive,Perform,,,,QA-Team
